country,mid
Adelie Land,501
Afghanistan,401
Alaska,303
Albania,201
Algeria,605
American Samoa,559
Andorra,202
Angola,603
Anguilla,301
Antigua and Barbuda,304
Antigua and Barbuda,305
Argentina,701
Armenia,216
Aruba,307
Ascension Island,608
Australia,503
Austria,203
Azerbaijan,423
Azores,204
Bahamas,308
Bahamas,309
Bahamas,311
Bahrain,408
Bangladesh,405
Barbados,314
Belarus,206
Belgium,205
Belize,312
Benin,610
Bermuda,310
Bhutan,410
Bolivia,720
Bosnia and Herzegovina,478
Botswana,611
Brazil,710
British Virgin Islands,378
Brunei Darussalam,508
Bulgaria,207
Burkina Faso,633
Burundi,609
Cambodia,514
Cambodia,515
Cameroon,613
Canada,316
Cape Verde,617
Cayman Islands,319
Central African Republic,612
Chad,670
Chile,725
China,412
China,413
China,414
Christmas Island,516
Cocos Islands,523
Colombia,730
Comoros,616
Comoros,620
Congo,615
Cook Islands,518
Costa Rica,321
C̫te d'Ivoire,619
Croatia,238
Crozet Archipelago,618
Cuba,323
Cyprus,209
Cyprus,210
Cyprus,212
Czech Republic,270
Denmark,219
Denmark,220
Djibouti,621
Dominica,325
Dominican Republic,327
DR Congo,676
Ecuador,735
Egypt,622
El Salvador,359
Equatorial Guinea,631
Eritrea,625
Estonia,276
Ethiopia,624
Falkland Islands,740
Faroe Islands,231
Fiji,520
Finland,230
France,226
France,227
France,228
French Polynesia,546
Gabonese Republic,626
Gambia,629
Georgia,213
Germany,211
Germany,218
Ghana,627
Gibraltar,236
Greece,237
Greece,239
Greece,240
Greece,241
Greenland,331
Grenada,330
Guadeloupe,329
Guatemala,332
Guiana,745
Guinea,632
Guinea-Bissau,630
Guyana,750
Haiti,336
Honduras,334
Hong Kong,477
Hungary,243
Iceland,251
India,419
Indonesia,525
Iran,422
Iraq,425
Ireland,250
Israel,428
Italy,247
Jamaica,339
Japan,431
Japan,432
Jordan,438
Kazakhstan,436
Kenya,634
Kerguelen Islands,635
Kiribati,529
Kuwait,447
Kyrgyzstan,451
Lao,531
Latvia,275
Lebanon,450
Lesotho,644
Liberia,636
Liberia,637
Libya,642
Liechtenstein,252
Lithuania,277
Luxembourg,253
Macao,453
Madagascar,647
Madeira,255
Makedonia,274
Malawi,655
Malaysia,533
Maldives,455
Mali,649
Malta,215
Malta,229
Malta,248
Malta,249
Malta,256
Marshall Islands,538
Martinique,347
Mauritania,654
Mauritius,645
Mexico,345
Micronesia,510
Moldova,214
Monaco,254
Mongolia,457
Montenegro,262
Montserrat,348
Morocco,242
Mozambique,650
Myanmar,506
Namibia,659
Nauru,544
Nepal,459
Netherlands,244
Netherlands,245
Netherlands,246
Netherlands Antilles,306
New Caledonia,540
New Zealand,512
Nicaragua,350
Niger,656
Nigeria,657
Niue,542
North Korea,445
Northern Mariana Islands,536
Norway,257
Norway,258
Norway,259
Oman,461
Pakistan,463
Palau,511
Palestine,443
Panama,351
Panama,352
Panama,353
Panama,354
Panama,355
Panama,356
Panama,357
Panama,370
Panama,371
Panama,372
Panama,373
Papua New Guinea,553
Paraguay,755
Peru,760
Philippines,548
Pitcairn Island,555
Poland,261
Portugal,263
Puerto Rico,358
Qatar,466
Reunion,660
Romania,264
Russian Federation,273
Rwanda,661
Saint Helena,665
Saint Kitts and Nevis,341
Saint Lucia,343
Saint Paul and Amsterdam Islands,607
Saint Pierre and Miquelon,361
Samoa,561
San Marino,268
Sao Tome and Principe,668
Saudi Arabia,403
Senegal,663
Serbia,279
Seychelles,664
Sierra Leone,667
Singapore,563
Singapore,564
Singapore,565
Singapore,566
Slovakia,267
Slovenia,278
Solomon Islands,557
Somalia,666
South Africa,601
South Korea,440
South Korea,441
South Sudan,638
Spain,224
Spain,225
Sri Lanka,417
St Vincent and the Grenadines,375
St Vincent and the Grenadines,376
St Vincent and the Grenadines,377
Sudan,662
Suriname,765
Swaziland,669
Sweden,265
Sweden,266
Switzerland,269
Syria,468
Taiwan,416
Tajikistan,472
Tanzania,674
Tanzania,677
Thailand,567
Togolese,671
Tonga,570
Trinidad and Tobago,362
Tunisia,672
Turkey,271
Turkmenistan,434
Turks and Caicos Islands,364
Tuvalu,572
Uganda,675
Ukraine,272
United Arab Emirates,470
United Kingdom,232
United Kingdom,233
United Kingdom,234
United Kingdom,235
Uruguay,770
US Virgin Islands,379
USA,338
USA,366
USA,367
USA,368
USA,369
Uzbekistan,437
Vanuatu,576
Vanuatu,577
Vatican City,208
Venezuela,775
Vietnam,574
Wallis and Futuna Islands,578
Yemen,473
Yemen,475
Zambia,678
Zimbabwe,679
